userid,x,y
1240448,-51,301
1240449,-60,31
1240452,135,-74
1240450,-75,256
1240451,0,1
1234573,-75,151
1234574,150,-179
1234576,90,-29
1234575,240,-284
1234577,150,-164
1234578,-45,-194
1234579,75,-194
1234580,150,-89
1234582,75,-254
1234584,-75,-215
1234581,200,-179
1234586,120,-59
1234583,30,-59
1234585,195,-194
1234588,60,-149
1234589,180,-224
1234592,-45,-134
1234590,-210,-209
1234591,-135,-104
1234593,195,-224
1234595,-195,-44
1234596,-120,-14
1234597,105,-119
1234594,-180,-182
1234599,-90,-254
1234602,-165,-29
1234603,90,-104
1234600,0,-59
1234598,30,-89
1234601,-210,-149
1234605,195,-119
1234606,-45,-149
1234607,135,-194
1234608,-75,-224
1234611,-45,-89
1234604,120,-209
1234613,165,-104
1234610,90,61
1234612,105,-209
1234609,30,-44
1234614,-165,-179
1234616,-30,-164
1234618,-105,-164
1234619,-30,-29
1234615,225,-224
1234621,120,-164
1234620,-90,46
1234622,-15,-164
1234617,75,-89
1234624,133,-59
1234626,210,-239
1234627,15,1
1234628,165,-134
1234630,135,-194
1234623,-45,-179
1234632,135,-149
1234625,30,-74
1234634,-255,-224
1234633,210,-224
1234635,66,-89
1234629,165,-89
1234637,45,-44
1234640,105,-149
1234639,135,-164
1234641,-255,-127
1234631,-105,1
1234643,-90,-119
1234644,-195,-89
1234645,195,-74
1234636,210,-179
1234642,-300,1
1234646,120,-179
1234648,-105,-194
1234638,-105,-36
1234649,0,-74
1234650,112,-149
1234653,105,31
1234654,-90,-29
1234652,120,-59
1234656,240,-224
1234658,240,-209
1234657,-210,106
1234659,300,241
1234651,240,-209
1234662,-134,61
1234661,-90,91
1234647,-45,-14
1234663,45,-224
1234664,-45,-14
1234655,60,-194
1234666,300,286
1234660,-75,226
1234667,-150,211
1234669,-300,1
1234670,105,1
1234672,60,-74
1234674,-300,301
1234675,-255,-29
1234665,120,-179
1234676,-90,91
1234678,105,-119
1234677,-165,151
1234679,-240,-299
1234673,0,-14
1234671,50,-74
1234682,-90,226
1234681,-75,241
1234683,-120,101
1234684,-105,256
1234668,120,-104
1234687,-30,106
1234688,-150,196
1234689,30,-119
1234690,-105,196
1234692,105,-119
1234680,-45,181
1234693,-300,301
1234686,225,16
