"party","year","percent","seats"
"Alþýðubandalag",1963,16.0,9
"Alþýðubandalag",1967,17.6,10
"Alþýðubandalag",1971,17.1,10
"Alþýðubandalag",1974,18.3,11
"Alþýðubandalag",1978,22.9,14
"Alþýðubandalag",1979,19.7,11
"Alþýðubandalag",1983,17.3,10
"Alþýðubandalag",1987,13.3,8
"Alþýðubandalag",1991,14.4,9
"Alþýðubandalag",1995,14.3,9
"Alþýðuflokkur",1963,14.2,8
"Alþýðuflokkur",1967,15.7,9
"Alþýðuflokkur",1971,10.5,6
"Alþýðuflokkur",1974,9.1,5
"Alþýðuflokkur",1978,22.0,14
"Alþýðuflokkur",1979,17.4,10
"Alþýðuflokkur",1983,11.7,6
"Alþýðuflokkur",1987,15.2,10
"Alþýðuflokkur",1991,15.5,10
"Alþýðuflokkur",1995,11.4,7
"Alþýðufylkingin",2013,0.1,0
"Alþýðufylkingin",2016,0.3,0
"Anarkistar á Íslandi",1999,0.1,0
"Aðrir og utan flokka",1983,0.5,0
"Aðrir og utan flokka",1987,2.87,0
"Aðrir og utan flokka",1995,1.1,0
"Aðrir og utan flokka",1999,0.4,0
"Bandalag jafnaðarmanna",1983,7.3,4
"Bandalag jafnaðarmanna",1987,0.2,0
"Björt framtíð",2013,8.2,6
"Björt framtíð",2016,7.2,4
"Borgaraflokkur",1987,10.9,7
"Borgarahreyfingin",2009,7.2,4
"Dögun",2013,3.1,0
"Dögun",2016,1.7,0
"Flokkur Fólksins",2016,3.5,0
"Flokkur heimilanna",2013,3.0,0
"Flokkur mannsins",1987,1.5,0
"Framboðsflokkurinn",1971,2.0,0
"Framsóknarflokkur",1963,28.2,19
"Framsóknarflokkur",1967,28.1,18
"Framsóknarflokkur",1971,25.3,17
"Framsóknarflokkur",1974,24.9,17
"Framsóknarflokkur",1978,16.9,12
"Framsóknarflokkur",1979,24.9,17
"Framsóknarflokkur",1983,19.0,14
"Framsóknarflokkur",1987,18.9,13
"Framsóknarflokkur",1991,18.9,13
"Framsóknarflokkur",1995,23.3,15
"Framsóknarflokkur",1999,18.4,12
"Framsóknarflokkur",2003,17.7,12
"Framsóknarflokkur",2007,11.7,7
"Framsóknarflokkur",2009,14.8,9
"Framsóknarflokkur",2013,24.4,19
"Framsóknarflokkur",2016,11.5,8
"Frjálslyndi flokkurinn",1999,4.2,2
"Frjálslyndi flokkurinn",2003,7.4,4
"Frjálslyndi flokkurinn",2007,7.3,4
"Frjálslyndi flokkurinn",2009,2.2,
"Frjálslyndir",1991,0.6,0
"Fylking baráttusinnaðra kommúnista",1978,0.2,0
"Fylking baráttusinnaðra kommúnista",1979,0.4,1
"Fylkingin - baráttusamtök sósíalista",1974,0.2,0
"Grænt framboð",1991,0.1,0
"Heimastjórnarsamtökin",1991,0.3,0
"Hinn flokkurinn",1979,0.2,1
"Hægri grænir",2013,1.7,0
"Húmanistaflokkurinn",1999,0.4,0
"Húmanistaflokkurinn",2013,0.1,0
"Húmanistaflokkurinn",2016,0.0,0
"Kommúnistaflokkur Íslands (m-l)",1974,0.1,0
"Kommúnistaflokkur Íslands (m-l)",1978,0.1,0
"Kristileg stjórnmálasamtök",1995,0.2,0
"Landsbyggðarflokkurinn",2013,0.2,0
"Lýðræðisflokkurinn",1974,0.1,0
"Lýðræðishreyfingin",2009,0.6,0
"Lýðræðisvaktin",2013,2.5,0
"Náttúrulagaflokkurinn",1995,0.6,0
"Nýtt afl",2003,1.0,0
"Píratar",2013,5.1,3
"Píratar",2016,14.5,10
"Regnboginn",2013,1.1,0
"Samfylkingin",1999,26.8,17
"Samfylkingin",2003,31.0,20
"Samfylkingin",2007,26.8,18
"Samfylkingin",2009,29.8,20
"Samfylkingin",2013,12.9,9
"Samfylkingin",2016,5.7,3
"Samtök frjálslyndra og vinstri manna",1971,8.9,5
"Samtök frjálslyndra og vinstri manna",1974,4.6,2
"Samtök frjálslyndra og vinstrimanna",1978,3.3,0
"Samtök um jafnrétti og félagshyggju",1987,1.2,1
"Samtök um kvennalista",1983,5.5,3
"Samtök um kvennalista",1987,10.1,6
"Samtök um kvennalista",1991,8.3,5
"Samtök um kvennalista",1995,4.9,3
"Samtök öfgasinnaðra jafnaðarmanna",1991,0.1,0
"Sjálfstæðisflokkur",1963,41.4,24
"Sjálfstæðisflokkur",1967,37.5,23
"Sjálfstæðisflokkur",1971,36.2,22
"Sjálfstæðisflokkur",1974,42.7,25
"Sjálfstæðisflokkur",1978,32.7,20
"Sjálfstæðisflokkur",1979,35.4,21
"Sjálfstæðisflokkur",1983,38.7,23
"Sjálfstæðisflokkur",1987,27.2,18
"Sjálfstæðisflokkur",1991,38.6,26
"Sjálfstæðisflokkur",1995,37.1,25
"Sjálfstæðisflokkur",1999,40.7,26
"Sjálfstæðisflokkur",2003,33.7,22
"Sjálfstæðisflokkur",2007,36.6,25
"Sjálfstæðisflokkur",2009,23.7,16
"Sjálfstæðisflokkur",2013,26.7,19
"Sjálfstæðisflokkur",2016,29.0,21
"Stjórnmálaflokkurinn",1978,0.4,0
"Sturla Jónsson",2013,0.1,0
"Sólskinsflokkurinn",1979,0.1,1
"Verkamannaflokkur Íslands",1991,0.01,0
"Vinstrihreyfingin - grænt framboð",1999,9.1,6
"Vinstrihreyfingin - grænt framboð",2003,8.8,5
"Vinstrihreyfingin - grænt framboð",2007,14.3,9
"Vinstrihreyfingin - grænt framboð",2009,21.7,14
"Vinstrihreyfingin - grænt framboð",2013,10.9,7
"Vinstrihreyfingin - grænt framboð",2016,15.9,10
"Viðreisn",2016,10.5,7
"Íslandshreyfingin",2007,3.3,0
"Íslenska þjóðfylkingin",2016,0.2,0
"Óháð framboð á Norðurlandi eystra",1979,0.7,1
"Óháð framboð á Suðurlandi",1979,1.2,1
"Óháð framboð í Austurlandskjörd.",1963,0.2,0
"Óháði lýðræðisflokkurinn",1967,1.1,0
"Óháðir á Suðurlandi",1978,0.4,0
"Óháðir á Vestfjörðum",1978,0.6,0
"Óháðir í Reykjaneskjördæmi",1978,0.5,0
"Óháðir í Suðurkjördæmi",2003,0.5,0
"Þjóðarflokkurinn - Flokkur mannsins",1991,1.8,0
"Þjóðarflokkurinn",1987,1.4,0
"Þjóðvaki, hreyfing fólksins",1995,7.2,4
