id,sex,teeth,months
1b9,female,81 71,4
24t,female,81 71,8.3
2ny,female,81 71,8.1
40u,female,81 71,4.5
518,female,81 71,5.9
654,female,81 71,1.9
6mq,female,81 71,9.7
8w7,female,81 71,8.2
aab,female,81 71,4.4
aw2,female,81 71,10.7
cyw,female,81 71,9.9
dts,female,81 71,10.1
e4y,female,81 71,6.6
jpn,female,81 71,5.7
ozn,female,81 71,3.5
pz8,female,81 71,4
qbw,female,81 71,8.7
tmd,female,81 71,9
uq6,female,81 71,7.7
wb9,female,81 71,6.5
x4n,female,81 71,6.6
yhh,female,81 71,6.8
zk0,female,81 71,7.5
13q7,female,81 71,2.2
15wt,female,81 71,6.6
176w,female,81 71,6.4
18q0,female,81 71,9.2
1a71,female,81 71,8.8
1azp,female,81 71,9.3
1dj5,female,81 71,4.5
1eq6,female,81 71,8.2
1fr7,female,81 71,10.1
1hyg,female,81 71,6.4
1k35,female,81 71,8.2
1kmt,female,81 71,5.1
1mxd,female,81 71,6.9
1qh4,female,81 71,8.9
1sa8,female,81 71,7.2
1tmp,female,81 71,4.9
1uew,female,81 71,7.3
1xo2,female,81 71,6.2
1zkz,female,81 71,7.7
20ai,female,81 71,5.7
215y,female,81 71,7.5
21ua,female,81 71,4.4
2359,female,81 71,6.2
24gz,female,81 71,4.9
25bq,female,81 71,5.6
25yt,female,81 71,8.5
29lp,female,81 71,3.4
2ak3,female,81 71,9.1
2av5,female,81 71,5.7
2euy,female,81 71,9.2
2fqv,female,81 71,4.3
2hbe,female,81 71,6.3
2hlq,female,81 71,9.3
2iiy,female,81 71,7.3
2j9b,female,81 71,6
2kgi,female,81 71,4.4
2lnr,female,81 71,10.3
2mgp,female,81 71,5.3
2obz,female,81 71,11.1
2p4t,female,81 71,7.6
2pgj,female,81 71,7.4
2usy,female,81 71,7
2vsx,female,81 71,9
2ygz,female,81 71,8.6
30dd,female,81 71,6.4
33fz,female,81 71,6.2
344e,female,81 71,5.4
3595,female,81 71,7.2
35r1,female,81 71,4.2
36ph,female,81 71,7.6
39sb,female,81 71,9.4
3ahs,female,81 71,5.1
3b37,female,81 71,7.1
3bs4,female,81 71,8
3dli,female,81 71,5.9
3dzv,female,81 71,7
3h80,female,81 71,4.4
3ilh,female,81 71,8.4
3kbe,female,81 71,7.7
3l52,female,81 71,4.4
3n44,female,81 71,2.2
3oof,female,81 71,9.9
3oso,female,81 71,8.2
3r8d,female,81 71,9.8
3s9u,female,81 71,8.2
3sqt,female,81 71,5.5
3uxt,female,81 71,8.2
3wcc,female,81 71,6.7
3wjz,female,81 71,9
3yja,female,81 71,8.4
41ox,female,81 71,6.7
46sp,female,81 71,7.5
47d5,female,81 71,8.9
489q,female,81 71,7.3
4am6,female,81 71,6.7
4bbu,female,81 71,9.8
4d9w,female,81 71,6.6
4e6a,female,81 71,5.2
4ej0,female,81 71,5.3
4geb,female,81 71,6.7
4nrj,female,81 71,6.6
4os0,female,81 71,9.1
4phu,female,81 71,6.6
4px5,female,81 71,7.3
4qny,female,81 71,6.3
4tt9,female,81 71,7.1
4vmn,female,81 71,5.3
4w30,female,81 71,4.8
4ya6,female,81 71,5.3
4zhw,female,81 71,8.4
50za,female,81 71,6.6
54dh,female,81 71,6.6
56jz,female,81 71,8.1
57d7,female,81 71,8.1
5eyf,female,81 71,2.6
5fb0,female,81 71,4.1
5g28,female,81 71,5.3
5hb3,female,81 71,7.1
5hm6,female,81 71,4.6
5igz,female,81 71,6.8
5m81,female,81 71,7.7
5nnt,female,81 71,6.7
5o0j,female,81 71,8.6
5p4o,female,81 71,6.8
5pmt,female,81 71,3.7
5tj0,female,81 71,8.3
5u4z,female,81 71,6.2
5v6s,female,81 71,7.2
5y30,female,81 71,7.4
5zb0,female,81 71,10
6089,female,81 71,9.9
62vg,female,81 71,8.2
64jc,female,81 71,9.2
685o,female,81 71,3.2
68nq,female,81 71,7.2
6b7s,female,81 71,11.7
6bpt,female,81 71,9.5
6egr,female,81 71,6.7
6frn,female,81 71,8
6gn5,female,81 71,7.5
6hw5,female,81 71,7.3
6ixs,female,81 71,6.4
6jy8,female,81 71,7.8
6kep,female,81 71,8.7
6ljm,female,81 71,7.2
6nj6,female,81 71,2
6nz6,female,81 71,8.1
6ppx,female,81 71,2.4
6qfs,female,81 71,4.2
6rea,female,81 71,7.4
6rur,female,81 71,6.2
6usp,female,81 71,7.3
6vh2,female,81 71,8.6
6wi0,female,81 71,5
6xb0,female,81 71,5.9
719h,female,81 71,4.4
73p0,female,81 71,10.1
75xz,female,81 71,11.4
77el,female,81 71,4.9
7b2l,female,81 71,7.6
7bju,female,81 71,5.9
7ceq,female,81 71,5
7ek7,female,81 71,7.5
7gdl,female,81 71,0.6
7ibf,female,81 71,7.2
7j3t,female,81 71,7
7jni,female,81 71,5.4
7kgv,female,81 71,3.5
7l8e,female,81 71,8.2
7ndc,female,81 71,8.4
7nve,female,81 71,6.1
7pcw,female,81 71,7.7
7pya,female,81 71,4.5
7t5y,female,81 71,9.5
7zgm,female,81 71,7.8
8247,female,81 71,10.4
825g,female,81 71,4.9
86re,female,81 71,6.4
87nz,female,81 71,6.9
89pm,female,81 71,4.4
8a6c,female,81 71,7.9
8e8i,female,81 71,6.2
8f6e,female,81 71,8.9
8gyt,female,81 71,8.1
8i4c,female,81 71,8.6
8jl2,female,81 71,5.1
8kt7,female,81 71,5.5
8n4u,female,81 71,9.4
8opa,female,81 71,4.5
8qx1,female,81 71,2.4
8veg,female,81 71,8.2
8yfo,female,81 71,7.4
8yzt,female,81 71,8.9
91ee,female,81 71,9.1
92dn,female,81 71,5.7
93tj,female,81 71,8.3
950a,female,81 71,5.9
95jl,female,81 71,8.6
96i2,female,81 71,7.4
97i4,female,81 71,10.1
97ub,female,81 71,7.2
98li,female,81 71,1.9
9a2s,female,81 71,7.2
9ai0,female,81 71,3.9
9dqm,female,81 71,10.2
9gfj,female,81 71,11.9
9ngh,female,81 71,11
9obk,female,81 71,4.4
9q3t,female,81 71,5.4
9rsx,female,81 71,9
9vcc,female,81 71,3.9
9xyy,female,81 71,9.7
9yq0,female,81 71,7.3
a0zv,female,81 71,5.1
a1l5,female,81 71,10.2
a1wl,female,81 71,6.6
a35m,female,81 71,5.7
a41p,female,81 71,8.6
a4iu,female,81 71,5
a6pb,female,81 71,6.5
a8kf,female,81 71,8
aa55,female,81 71,4.2
adem,female,81 71,3.7
adle,female,81 71,4
aena,female,81 71,9.2
ahve,female,81 71,5.7
an6l,female,81 71,3.8
apph,female,81 71,6.3
aqga,female,81 71,4.4
as2g,female,81 71,6.8
asae,female,81 71,9.5
at5b,female,81 71,7.4
auw7,female,81 71,6.6
ay8r,female,81 71,5.5
b072,female,81 71,4.7
b27v,female,81 71,3.2
b36i,female,81 71,9.6
b49k,female,81 71,8
b5ro,female,81 71,11.1
b818,female,81 71,6.9
b8q1,female,81 71,8.9
b9ny,female,81 71,6.1
baby,female,81 71,4.7
bd9q,female,81 71,7.4
bdse,female,81 71,10.6
bf1y,female,81 71,7.2
bfmg,female,81 71,6.9
bjo9,female,81 71,8
bm1j,female,81 71,3.2
bmqw,female,81 71,10.5
bnwa,female,81 71,6.3
bpeh,female,81 71,8.8
brpk,female,81 71,2.6
bsms,female,81 71,4.7
bui4,female,81 71,9.6
bw1a,female,81 71,7.9
bwmb,female,81 71,5.1
bx87,female,81 71,12.7
c2z9,female,81 71,7.3
c3uk,female,81 71,8
c4kz,female,81 71,7
c4yx,female,81 71,8.7
c61e,female,81 71,4.6
c6va,female,81 71,6.8
c880,female,81 71,7.8
c9yv,female,81 71,6.2
cahd,female,81 71,6.9
cdb7,female,81 71,6.4
cfjz,female,81 71,7.7
cgc6,female,81 71,6.6
chz5,female,81 71,3.5
cj79,female,81 71,6.5
ck0w,female,81 71,6.6
cmlm,female,81 71,5.6
co0f,female,81 71,7.3
cp8o,female,81 71,7.3
cppv,female,81 71,5.4
cqf4,female,81 71,4.2
csqz,female,81 71,5.8
ctgk,female,81 71,8.1
cuaw,female,81 71,5.2
cvvs,female,81 71,4.8
cxgj,female,81 71,4.4
cy5z,female,81 71,8.4
czim,female,81 71,9.3
d0pe,female,81 71,6.7
d404,female,81 71,9.9
d5gf,female,81 71,6.9
d6jw,female,81 71,10.8
d7sv,female,81 71,8.5
d8ix,female,81 71,6.6
dadp,female,81 71,5
dcsx,female,81 71,7.9
dfiq,female,81 71,8.3
dgmp,female,81 71,9.1
dios,female,81 71,4
dk4o,female,81 71,5.4
dkob,female,81 71,5.6
dmpa,female,81 71,6.2
dpol,female,81 71,6.7
drkp,female,81 71,6.9
dt0j,female,81 71,6.4
du43,female,81 71,4
dwti,female,81 71,8.2
dydn,female,81 71,7.2
e0f1,female,81 71,6.5
e0pd,female,81 71,5
e1fb,female,81 71,6.2
e4a8,female,81 71,6.8
e52w,female,81 71,10.6
e5t2,female,81 71,4.2
e6np,female,81 71,7.5
e8f4,female,81 71,7.4
e9m2,female,81 71,6.6
ecw1,female,81 71,4.3
ef35,female,81 71,8
egfd,female,81 71,3.6
eh72,female,81 71,6.5
eiwq,female,81 71,3.6
ejc6,female,81 71,5
ek3z,female,81 71,5.9
el1t,female,81 71,8.9
enjm,female,81 71,5.4
ep74,female,81 71,8.3
eq4b,female,81 71,6.8
ereg,female,81 71,5.7
esug,female,81 71,9.2
euds,female,81 71,9.9
evdp,female,81 71,7.6
ew0j,female,81 71,3.9
eymq,female,81 71,8.5
f0vk,female,81 71,9.6
f3o7,female,81 71,7.3
f4hz,female,81 71,9.8
f5cw,female,81 71,6.5
f5nh,female,81 71,9.8
f72m,female,81 71,6.2
f81g,female,81 71,5.3
fata,female,81 71,10.3
fbzr,female,81 71,3.8
fg62,female,81 71,9.3
fhiw,female,81 71,10.9
