"date","Þingmenn","Ráðherrar","Forsætisráðherra","Forseti Íslands","Vísitala Neysluverðs"
"2006-07",485570,871441,966182,1619700,263.1
"2006-10",503051,902813,1000965,1678025,266.2
"2007-01",517639,928994,1029993,1727002,266.9
"2007-07",531098,953148,1021036,1771501,273
"2008-01",541720,972211,1077908,1806843,282.3
"2008-05",562020,992511,1098208,1827143,304.4
"2009-01",520000,855000,935000,1827143,334.8
"2011-06",545480,896895,980815,1916673,379.9
"2011-10",589559,1041144,1152020,1916673,384.6
"2012-03",610193,1077584,1192341,1983757,395.1
"2013-03",630024,1112606,1231092,2048229,410.7
"2014-02",651445,1150434,1272949,2117868,418.7
"2015-03",712030,1257425,1391333,2314830,426.4
"2016-06",766500,1347456,1490952,2480340,433.7
"2016-10",1101194,1826273,2021825,2985000,436.4
