year,host,team,place,tags
1930,URU,URU,1,URU
1930,URU,ARG,2,ARG
1930,URU,USA,3,USA
1930,URU,YUG,4,YUG CRO SRB SCG SVN BIH
1930,URU,CHI,5,CHI
1930,URU,BRA,6,BRA
1930,URU,FRA,7,FRA
1930,URU,ROU,8,ROU
1930,URU,PAR,9,PAR
1930,URU,PER,10,PER
1930,URU,BEL,11,BEL
1930,URU,BOL,12,BOL
1930,URU,MEX,13,MEX
1934,ITA,ITA,1,ITA
1934,ITA,TCH,2,TCH CZE SVK
1934,ITA,GER,3,GER FRG DDR
1934,ITA,AUT,4,AUT
1934,ITA,ESP,5,ESP
1934,ITA,HUN,6,HUN
1934,ITA,SUI,7,SUI
1934,ITA,SWE,8,SWE
1934,ITA,FRA,9,FRA
1934,ITA,NED,9,NED
1934,ITA,ARG,9,ARG
1934,ITA,ROU,12,ROU
1934,ITA,EGY,13,EGY
1934,ITA,BRA,14,BRA
1934,ITA,BEL,15,BEL
1934,ITA,USA,16,USA
1938,FRA,ITA,1,ITA
1938,FRA,HUN,2,HUN
1938,FRA,BRA,3,BRA
1938,FRA,SWE,4,SWE
1938,FRA,TCH,5,TCH CZE SVK
1938,FRA,FRA,6,FRA
1938,FRA,SUI,7,SUI
1938,FRA,CUB,8,CUB
1938,FRA,ROU,9,ROU
1938,FRA,GER,10,GER FRG DDR
1938,FRA,POL,11,POL
1938,FRA,NOR,12,NOR
1938,FRA,BEL,13,BEL
1938,FRA,NED,14,NED
1938,FRA,DEI,15,DEI IDN
1950,BRA,URU,1,URU
1950,BRA,BRA,2,BRA
1950,BRA,SWE,3,SWE
1950,BRA,ESP,4,ESP
1950,BRA,YUG,5,YUG CRO SRB SCG SVN BIH
1950,BRA,SUI,6,SUI
1950,BRA,ITA,7,ITA
1950,BRA,ENG,8,ENG
1950,BRA,CHI,9,CHI
1950,BRA,USA,10,USA
1950,BRA,PAR,11,PAR
1950,BRA,MEX,12,MEX
1950,BRA,BOL,13,BOL
1954,SUI,FRG,1,FRG GER
1954,SUI,HUN,2,HUN
1954,SUI,AUT,3,AUT
1954,SUI,URU,4,URU
1954,SUI,BRA,5,BRA
1954,SUI,ENG,6,ENG
1954,SUI,YUG,7,YUG CRO SRB SCG SVN BIH
1954,SUI,SUI,8,SUI
1954,SUI,TUR,9,TUR
1954,SUI,ITA,10,ITA
1954,SUI,FRA,11,FRA
1954,SUI,BEL,12,BEL
1954,SUI,MEX,13,MEX
1954,SUI,TCH,14,TCH CZE SVK
1954,SUI,SCO,15,SCO
1954,SUI,KOR,16,KOR
1958,SWE,BRA,1,BRA
1958,SWE,SWE,2,SWE
1958,SWE,FRA,3,FRA
1958,SWE,FRG,4,FRG GER
1958,SWE,YUG,5,YUG CRO SRB SCG SVN BIH
1958,SWE,WAL,6,WAL
1958,SWE,URS,7,URS RUS UKR
1958,SWE,NIR,8,NIR
1958,SWE,TCH,9,TCH CZE SVK
1958,SWE,HUN,10,HUN
1958,SWE,ENG,11,ENG
1958,SWE,PAR,12,PAR
1958,SWE,ARG,13,ARG
