date,name,nationality,sex,category,class
1921-07-03,"Godfred Hansen",DNK,m,mil,5
1921-07-03,"Christian Frederik Michael Knud",DNK,m,rul,2
1921-07-03,"A.H. Vedel",DNK,m,mil,5
1921-07-03,"Auguste Alexandrine",DNK,f,rul,2
1921-07-03,"Jón Magnússon",ISL,m,pol,2
1921-07-03,"Svenn Poulsen",DNK,m,art,5
1921-07-03,"Antonius Michael Napol. Krieger",DNK,m,cnc,2
1921-07-03,"Poul Bredo Grandjean",DNK,m,gov,5
1921-07-03,"Þorsteinn Metúsalem Jónsson",ISL,m,edu,5
1921-07-03,"C.J.E. Juel",DNK,m,cnc,4
1921-07-03,"Hans Christian Tegner",DNK,m,edu,5
1921-07-03,"Johannes Erhardt Böggild",DNK,m,dip,4
1921-07-03,"Einar Arnórsson",ISL,m,edu,4
1921-07-03,"Jens Christian Christensen",DNK,m,pol,2
1921-07-03,"Carl Vilhelm Edvard Carstensen",DNK,m,mil,4
1921-07-03,"Frederik Cold",DNK,m,mil,4
1921-07-03,"Vilh. Julius Alexander Harttung",DNK,m,mil,4
1921-07-03,"Herbert Stanley Sander",DNK,m,mil,5
1921-07-03,"Oluf Christian Kragh",DNK,m,edu,4
1921-07-03,"Bjarni Jónsson",ISL,m,edu,4
1921-07-03,"Sveinn Björnsson",ISL,m,dip,4
1921-07-03,"Alfred Andreas Riisager",DNK,m,edu,5
1921-07-03,"P.O.A. Andersen",DNK,m,gov,4
1921-07-03,"Louis Dornonville de la Cour",FRA,m,mil,5
1921-07-03,"Nils Thomasius Neergaard",DNK,m,pol,2
1921-07-03,"Franz Michael Carl V.G Frederik",DNK,m,rul,2
1921-07-03,"Carl Matthias Appeldorn",DNK,m,cnc,4
1921-07-03,"Alfred Carl Beck",DNK,m,cnc,5
1921-07-03,"Niels Christensen Monberg",DNK,m,pol,4
1921-07-03,"Christian hinn tíundi",DNK,m,rul,1
1921-07-03,"Jón Hjaltalín Sveinbjörnsson",ISL,m,gov,4
1921-07-03,"Jón Krabbe",ISL,m,dip,4
1921-07-03,"Charlotte Christine Sehested",DNK,f,cnc,5
1921-07-03,"Jóhannes Jóhannesson",ISL,m,gov,4
1921-07-03,"Harald de Jonquieres Grut",DNK,m,mil,5
1921-07-03,"Christian Frederik Gjernals",DNK,m,mil,4
1921-09-19,"Harald Roger Scavenius",DNK,m,pol,2
1921-10-31,"Louise Josephine Eugenie",DNK,f,rul,2
1921-12-01,"Magnús Sigurðsson",ISL,m,com,5
1921-12-01,"Magnús Kristjánsson",ISL,m,pol,5
1921-12-01,"Sigurður Pjetursson",ISL,m,com,5
1921-12-01,"Valdimar O. Briem",ISL,m,cnc,5
1921-12-01,"Björn Sigurðsson",ISL,m,com,5
1921-12-01,"Hjalti Jónsson",ISL,m,com,5
1921-12-01,"Halldór Þorsteinsson",ISL,m,com,5
1921-12-01,"Einar H. Kvaran",ISL,m,art,5
1921-12-01,"C.O. Jensen",DNK,m,edu,4
1921-12-01,"Klemens Jónsson",ISL,m,gov,4
1921-12-01,"Johan Ferdinand Asberg",???,m,com,5
1921-12-01,"Þórunn Jónassen",ISL,f,pol,5
1921-12-01,"Finnur Jónsson",ISL,m,edu,4
1921-12-01,"Ágúst Flygenring",ISL,m,com,5
1921-12-01,"Ásgeir Sigurðsson",ISL,m,dip,4
1921-12-01,"Snæbjörn Kristjánsson",ISL,m,pol,5
1921-12-01,"Þórarinn Erlendur Tulinius",ISL,m,com,5
1921-12-01,"Thor Jensen",ISL,m,com,4
1921-12-01,"Jørgen Anton Christensen",DNK,m,edu,5
1921-12-01,"Haraldur Níelsson",ISL,m,edu,5
1921-12-01,"Pjetur Jónsson",ISL,m,pol,4
1921-12-01,"Eiríkur Briem",ISL,m,edu,4
1921-12-01,"Þorsteinn Gíslason",ISL,m,art,5
1921-12-01,"Jóhann Þorkelsson",ISL,m,cnc,5
1921-12-01,"Ágúst Helgason",ISL,m,com,5
1921-12-01,"Guðmundur Magnússon",ISL,m,edu,4
1921-12-01,"Jón Bergsson",ISL,m,com,5
1921-12-01,"Elín Briem Jónsson",ISL,f,edu,5
1922-03-03,"Arne Möller",DNK,m,cnc,5
1922-03-03,"Ragnar Lundborg",SWE,m,???,5
1922-03-03,"Robert Grant",GBR,m,com,5
1922-03-03,"Alfred Ralph Wagg",GBR,m,com,5
1922-03-03,"Aage Meyer Benedictsen",DNK,m,art,5
1922-06-19,"Sigurður Pjetursson Eggerz",ISL,m,pol,2
1922-06-21,"M. Gaetano Silvestri",ITA,m,gov,5
1922-06-21,"Aloisi Pompeo",ITA,m,dip,2
1922-06-21,"M. Schanzer",ITA,m,pol,2
1922-06-21,"M. Renato Luzi",ITA,m,gov,5
1922-07-10,"William Carlton Rothe",DNK,m,cnc,2
1922-07-10,"Thjodolf Klingenberg",NOR,m,dip,5
1922-07-10,"Alfred Blanche",FRA,m,dip,5
1922-07-10,"August Christiern Broberg",DNK,m,???,4
1922-07-10,"O.C.J.J.B. Scavenius",DNK,m,gov,2
1922-07-10,"Charles Lemmenf",FRA,m,edu,5
1922-07-10,"H.A. Bernhoft",DNK,m,dip,2
1922-07-10,"Olaf Bronn",NOR,m,com,5
1922-07-10,"Bienvenudo Calvo Hernandez",ESP,m,gov,5
1922-08-01,"H.F.C. Skeel",DNK,m,cnc,5
1922-08-01,"Halldór Daníelsson",ISL,m,mil,4
