-;Jan;Feb;Mar;Apr;Maí;Jún;Júl;Ágú;Sep;Okt;Nóv;Des
1;1005;945;969;1001;1005;1031;1030;986;1019;1060;933;954
2;987;1007;925;903;1011;1019;1001;1014;1022;1063;945;930
3;978;962;954;955;1006;977;1026;1056;973;1034;958;920
4;1025;1010;951;961;1021;964;1000;999;939;1096;945;900
5;966;928;955;978;1070;1016;998;1061;973;1035;926;917
6;964;865;976;994;1025;1003;1021;994;1002;990;936;952
7;938;979;959;963;1057;963;1060;1082;990;1018;963;935
8;923;971;932;970;998;957;961;1059;1013;1016;971;950
9;890;946;1013;929;957;1016;992;1038;1001;1021;948;882
10;934;977;1009;998;1015;942;993;1040;955;1042;988;950
11;974;982;947;975;1001;994;998;1017;1008;1006;1013;928
12;998;1020;1011;1025;1055;960;1016;965;1044;964;897;899
13;926;903;971;885;988;981;1023;975;979;932;919;912
14;926;959;995;997;983;1054;977;1015;951;977;934;973
15;963;925;1030;994;1031;970;960;1000;1029;920;986;930
16;967;955;965;948;997;1014;1104;1003;1040;942;977;978
17;915;987;950;959;1001;991;1052;1033;1019;985;914;969
18;970;985;974;995;1023;1067;1027;1087;1029;942;948;995
19;909;968;995;1009;950;1049;984;1044;1038;942;953;894
20;956;961;978;982;958;1047;1057;978;1082;940;961;934
21;939;1028;958;943;935;1021;1029;1001;1078;918;953;869
22;931;1013;1010;1010;1024;989;1018;984;1021;933;999;896
23;908;1015;1036;961;997;1015;989;939;1054;897;910;856
24;910;923;928;970;1019;980;1021;1003;1024;922;926;791
25;957;973;944;979;960;1036;993;1011;1074;912;971;724
26;890;899;972;989;1067;1060;1008;958;1071;897;904;803
27;888;939;946;992;1014;967;1025;1107;1123;947;867;913
28;897;1001;937;1080;962;1044;1034;988;1057;956;906;917
29;946;217;944;990;935;1025;967;970;1056;919;914;893
30;959;;1013;980;1018;1005;1039;932;1063;945;928;955
31;865;;967;;1014;;956;932;;938;;783
